artifact_id,artifact_type,name,source_path,migration_status,migration_percent,next_action
py-function-p182-prompt-history-library-version-studio-export-prompt-history-library,PY_FUNCTION,p182_prompt_history_library_version_studio.export_prompt_history_library,mvp_qaic_py/p182_prompt_history_library_version_studio.py,RUNTIME_SMOKED,90,KEEP_TRACKING
py-function-p182-prompt-history-library-version-studio-main,PY_FUNCTION,p182_prompt_history_library_version_studio.main,mvp_qaic_py/p182_prompt_history_library_version_studio.py,RUNTIME_SMOKED,90,KEEP_TRACKING
py-function-p183-capture-to-session-link-prompt-run-workflow-build-capture-prompt-session-workflow,PY_FUNCTION,p183_capture_to_session_link_prompt_run_workflow.build_capture_prompt_session_workflow,mvp_qaic_py/p183_capture_to_session_link_prompt_run_workflow.py,RUNTIME_SMOKED,90,KEEP_TRACKING
py-function-p183-capture-to-session-link-prompt-run-workflow-create-review-only-session,PY_FUNCTION,p183_capture_to_session_link_prompt_run_workflow.create_review_only_session,mvp_qaic_py/p183_capture_to_session_link_prompt_run_workflow.py,RUNTIME_SMOKED,90,KEEP_TRACKING
py-function-p183-capture-to-session-link-prompt-run-workflow-export-capture-session-workflow,PY_FUNCTION,p183_capture_to_session_link_prompt_run_workflow.export_capture_session_workflow,mvp_qaic_py/p183_capture_to_session_link_prompt_run_workflow.py,RUNTIME_SMOKED,90,KEEP_TRACKING
py-function-p183-capture-to-session-link-prompt-run-workflow-main,PY_FUNCTION,p183_capture_to_session_link_prompt_run_workflow.main,mvp_qaic_py/p183_capture_to_session_link_prompt_run_workflow.py,RUNTIME_SMOKED,90,KEEP_TRACKING
py-function-p186-real-operator-roundtrip-smoke-build-p186-roundtrip-smoke,PY_FUNCTION,p186_real_operator_roundtrip_smoke.build_p186_roundtrip_smoke,mvp_qaic_py/p186_real_operator_roundtrip_smoke.py,RUNTIME_SMOKED,90,KEEP_TRACKING
py-function-p186-real-operator-roundtrip-smoke-create-controlled-roundtrip-inputs,PY_FUNCTION,p186_real_operator_roundtrip_smoke.create_controlled_roundtrip_inputs,mvp_qaic_py/p186_real_operator_roundtrip_smoke.py,RUNTIME_SMOKED,90,KEEP_TRACKING
py-function-p186-real-operator-roundtrip-smoke-export-p186-roundtrip-smoke,PY_FUNCTION,p186_real_operator_roundtrip_smoke.export_p186_roundtrip_smoke,mvp_qaic_py/p186_real_operator_roundtrip_smoke.py,RUNTIME_SMOKED,90,KEEP_TRACKING
py-function-p186-real-operator-roundtrip-smoke-main,PY_FUNCTION,p186_real_operator_roundtrip_smoke.main,mvp_qaic_py/p186_real_operator_roundtrip_smoke.py,RUNTIME_SMOKED,90,KEEP_TRACKING
py-function-p187-real-manual-portfolio-case-review-gate-build-manual-portfolio-case-review-gate,PY_FUNCTION,p187_real_manual_portfolio_case_review_gate.build_manual_portfolio_case_review_gate,mvp_qaic_py/p187_real_manual_portfolio_case_review_gate.py,RUNTIME_SMOKED,90,KEEP_TRACKING
py-function-p187-real-manual-portfolio-case-review-gate-export-manual-portfolio-case-review-gate,PY_FUNCTION,p187_real_manual_portfolio_case_review_gate.export_manual_portfolio_case_review_gate,mvp_qaic_py/p187_real_manual_portfolio_case_review_gate.py,RUNTIME_SMOKED,90,KEEP_TRACKING
py-function-p187-real-manual-portfolio-case-review-gate-main,PY_FUNCTION,p187_real_manual_portfolio_case_review_gate.main,mvp_qaic_py/p187_real_manual_portfolio_case_review_gate.py,RUNTIME_SMOKED,90,KEEP_TRACKING
py-function-p189h-historical-prompt-quality-audit-audit-historical-prompts,PY_FUNCTION,p189h_historical_prompt_quality_audit.audit_historical_prompts,mvp_qaic_py/p189h_historical_prompt_quality_audit.py,RUNTIME_SMOKED,90,KEEP_TRACKING
py-function-p189h-historical-prompt-quality-audit-export-historical-prompt-quality-audit,PY_FUNCTION,p189h_historical_prompt_quality_audit.export_historical_prompt_quality_audit,mvp_qaic_py/p189h_historical_prompt_quality_audit.py,RUNTIME_SMOKED,90,KEEP_TRACKING
py-function-p189h-historical-prompt-quality-audit-main,PY_FUNCTION,p189h_historical_prompt_quality_audit.main,mvp_qaic_py/p189h_historical_prompt_quality_audit.py,RUNTIME_SMOKED,90,KEEP_TRACKING
py-function-portfolio-input-normalizer-build-image-review-checklist,PY_FUNCTION,portfolio_input_normalizer.build_image_review_checklist,mvp_qaic_py/portfolio_input_normalizer.py,RUNTIME_SMOKED,75,KEEP_TRACKING
py-function-portfolio-input-normalizer-detect-numeric-tokens,PY_FUNCTION,portfolio_input_normalizer.detect_numeric_tokens,mvp_qaic_py/portfolio_input_normalizer.py,RUNTIME_SMOKED,75,KEEP_TRACKING
py-function-portfolio-input-normalizer-detect-symbols-from-text,PY_FUNCTION,portfolio_input_normalizer.detect_symbols_from_text,mvp_qaic_py/portfolio_input_normalizer.py,RUNTIME_SMOKED,75,KEEP_TRACKING
py-function-portfolio-input-normalizer-normalize-portfolio-input-workflow,PY_FUNCTION,portfolio_input_normalizer.normalize_portfolio_input_workflow,mvp_qaic_py/portfolio_input_normalizer.py,RUNTIME_SMOKED,75,KEEP_TRACKING
py-function-portfolio-input-normalizer-normalize-structured-positions,PY_FUNCTION,portfolio_input_normalizer.normalize_structured_positions,mvp_qaic_py/portfolio_input_normalizer.py,RUNTIME_SMOKED,75,KEEP_TRACKING
py-function-portfolio-input-normalizer-normalize-symbol,PY_FUNCTION,portfolio_input_normalizer.normalize_symbol,mvp_qaic_py/portfolio_input_normalizer.py,RUNTIME_SMOKED,75,KEEP_TRACKING
