record_type,script_file_name,module_family,function_name,function_visibility,functional_role,migration_priority,evidence_text
RISK_HIT,mvpqaic_41_phase4_closure_cdc_tracker_core.js,QAIC_BRIDGE,,,OTHER,P2,"QAIC_BRIDGE mvpqaic_41_phase4_closure_cdc_tracker_core.js risk_line_text sh.getRange(1, 1, 1, MVPQAIC_P4J_QUEUE_HEADERS.length).setValues([MVPQAIC_P4J_QUEUE_HEADERS]); Review required before cleanup/delete."
RISK_HIT,mvpqaic_41_phase4_closure_cdc_tracker_core.js,QAIC_BRIDGE,,,OTHER,P2,"QAIC_BRIDGE mvpqaic_41_phase4_closure_cdc_tracker_core.js risk_line_text sh.getRange(row, 1, 1, MVPQAIC_P4J_QUEUE_HEADERS.length).setValues([MVPQAIC_P4J_QUEUE_HEADERS]); Review required before cleanup/delete."
RISK_HIT,mvpqaic_41_phase4_closure_cdc_tracker_core.js,QAIC_BRIDGE,,,OTHER,P2,"QAIC_BRIDGE mvpqaic_41_phase4_closure_cdc_tracker_core.js risk_line_text sh.getRange(table.headerRow, headers.length + 1, 1, missing.length).setValues([missing]); Review required before cleanup/delete."
RISK_HIT,mvpqaic_41_phase4_closure_cdc_tracker_core.js,QAIC_BRIDGE,,,OTHER,P2,"QAIC_BRIDGE mvpqaic_41_phase4_closure_cdc_tracker_core.js risk_line_text intake.getRange(intake.getLastRow() + 1, 1, values.length, table.headers.length).setValues(values); Review required before cleanup/delete."
RISK_HIT,mvpqaic_41_phase4_closure_cdc_tracker_core.js,QAIC_BRIDGE,,,OTHER,P2,"QAIC_BRIDGE mvpqaic_41_phase4_closure_cdc_tracker_core.js risk_line_text journalQueue.getRange(journalQueue.getLastRow() + 1, 1, values.length, table.headers.length).setValues(values); Review required before cleanup/delete."
RISK_HIT,mvpqaic_41_phase4_closure_cdc_tracker_core.js,QAIC_BRIDGE,,,OTHER,P2,"QAIC_BRIDGE mvpqaic_41_phase4_closure_cdc_tracker_core.js risk_line_text journal.getRange(journal.getLastRow() + 1, 1, 1, journalInfo.headers.length).setValues([row]); Review required before cleanup/delete."
RISK_HIT,mvpqaic_41_phase4_closure_cdc_tracker_core.js,QAIC_BRIDGE,,,OTHER,P2,"QAIC_BRIDGE mvpqaic_41_phase4_closure_cdc_tracker_core.js risk_line_text sheet.getRange(1, 1, 1, Math.min(headers.length, 8)).setValues([['MVP QAIC P4L WORKFLOW TABLE', 'version', MVPQAIC_P4L_VERSION, 'mode', 'HUMAN_REVIEW_ONLY', 'updated_at', new Date().toISOString(), '']]); Review required before cleanup/delete."
RISK_HIT,mvpqaic_41_phase4_closure_cdc_tracker_core.js,QAIC_BRIDGE,,,OTHER,P2,"QAIC_BRIDGE mvpqaic_41_phase4_closure_cdc_tracker_core.js risk_line_text sheet.getRange(headerRow, 1, 1, headers.length).setValues([headers]); Review required before cleanup/delete."
RISK_HIT,mvpqaic_41_phase4_closure_cdc_tracker_core.js,QAIC_BRIDGE,,,OTHER,P2,"QAIC_BRIDGE mvpqaic_41_phase4_closure_cdc_tracker_core.js risk_line_text sheet.getRange(table.headerRow, table.headers.length + 1, 1, missing.length).setValues([missing]); Review required before cleanup/delete."
RISK_HIT,mvpqaic_41_phase4_closure_cdc_tracker_core.js,QAIC_BRIDGE,,,OTHER,P2,"QAIC_BRIDGE mvpqaic_41_phase4_closure_cdc_tracker_core.js risk_line_text if (rowMap[row.__row]) sheet.getRange(row.__row, col + 1).setValue(updates[key]); Review required before cleanup/delete."
RISK_HIT,mvpqaic_41_phase4_closure_cdc_tracker_core.js,QAIC_BRIDGE,,,OTHER,P2,"QAIC_BRIDGE mvpqaic_41_phase4_closure_cdc_tracker_core.js risk_line_text sh.getRange(table.headerRow, 1, clearRows, clearWidth).clearContent(); Review required before cleanup/delete."
RISK_HIT,mvpqaic_41_phase4_closure_cdc_tracker_core.js,QAIC_BRIDGE,,,OTHER,P2,"QAIC_BRIDGE mvpqaic_41_phase4_closure_cdc_tracker_core.js risk_line_text sh.getRange(table.headerRow, 1, 1, desiredHeaders.length).setValues([desiredHeaders]); Review required before cleanup/delete."
RISK_HIT,mvpqaic_41_phase4_closure_cdc_tracker_core.js,QAIC_BRIDGE,,,OTHER,P2,"QAIC_BRIDGE mvpqaic_41_phase4_closure_cdc_tracker_core.js risk_line_text sh.getRange(table.headerRow + 1, 1, valuesOut.length, desiredHeaders.length).setValues(valuesOut); Review required before cleanup/delete."
SCRIPT_INVENTORY,mvpqaic_42_response_intake_consolidation_audit_core.js,AUDIT_INVENTORY,,,AUDIT_REGISTRY,P1,AUDIT_INVENTORY mvpqaic_42_response_intake_consolidation_audit_core.js
FUNCTION_INDEX,mvpqaic_42_response_intake_consolidation_audit_core.js,AUDIT_INVENTORY,MVPQAIC_P4O_ResponseIntakeConsolidationAudit,PUBLIC,AUDIT_REGISTRY,P1,AUDIT_INVENTORY mvpqaic_42_response_intake_consolidation_audit_core.js MVPQAIC_P4O_ResponseIntakeConsolidationAudit function_line 159
FUNCTION_INDEX,mvpqaic_42_response_intake_consolidation_audit_core.js,AUDIT_INVENTORY,MVPQAIC_P4O_Status,PUBLIC,AUDIT_REGISTRY,P1,AUDIT_INVENTORY mvpqaic_42_response_intake_consolidation_audit_core.js MVPQAIC_P4O_Status function_line 211
