source_file,source_row,source_kind,name,score,matched_keywords,summary
P165_R3_PROMPT_ENGINE_RECOVERY.csv,1926,PROMPT_ENGINE_OR_PROMPT_SOURCE,UNKNOWN_SOURCE,190,prompt|gpt|review|risk,"record_type=RISK_HIT | script_file_name=mvpqaic_23_gpt_response_intake_core.js | module_family=QAIC_BRIDGE | functional_role=PROMPT_OR_AI | migration_priority=P0 | evidence_text=QAIC_BRIDGE mvpqaic_23_gpt_response_intake_core.js risk_line_text sheet.getRange(AI_REF_DATA_START_ROW, 1, remapped.length, AI_REF_HEADERS.length).setValues(remapped); Review require"
P165_R3_PROMPT_ENGINE_RECOVERY.csv,1927,PROMPT_ENGINE_OR_PROMPT_SOURCE,UNKNOWN_SOURCE,190,prompt|gpt|review|risk,"record_type=RISK_HIT | script_file_name=mvpqaic_23_gpt_response_intake_core.js | module_family=QAIC_BRIDGE | functional_role=PROMPT_OR_AI | migration_priority=P0 | evidence_text=QAIC_BRIDGE mvpqaic_23_gpt_response_intake_core.js risk_line_text sheet.getRange(targetRow, 1, 1, AI_REF_HEADERS.length).setValues([row]); Review required before cleanup/delete."
P165_R3_PROMPT_ENGINE_RECOVERY.csv,1928,PROMPT_ENGINE_OR_PROMPT_SOURCE,UNKNOWN_SOURCE,190,prompt|gpt|review|risk,"record_type=RISK_HIT | script_file_name=mvpqaic_23_gpt_response_intake_core.js | module_family=QAIC_BRIDGE | functional_role=PROMPT_OR_AI | migration_priority=P0 | evidence_text=QAIC_BRIDGE mvpqaic_23_gpt_response_intake_core.js risk_line_text sheet.getRange(1, 1, summary.length, summaryCols).setValues(summary); Review required before cleanup/delete."
P165_R3_PROMPT_ENGINE_RECOVERY.csv,1929,PROMPT_ENGINE_OR_PROMPT_SOURCE,UNKNOWN_SOURCE,190,prompt|gpt|review|risk,"record_type=RISK_HIT | script_file_name=mvpqaic_23_gpt_response_intake_core.js | module_family=QAIC_BRIDGE | functional_role=PROMPT_OR_AI | migration_priority=P0 | evidence_text=QAIC_BRIDGE mvpqaic_23_gpt_response_intake_core.js risk_line_text sheet.getRange(5, 1, 1, 5).setValues([['section', 'field', 'value', 'editable', 'notes']]); Review required before c"
P165_R3_PROMPT_ENGINE_RECOVERY.csv,1930,PROMPT_ENGINE_OR_PROMPT_SOURCE,UNKNOWN_SOURCE,190,prompt|gpt|review|risk,"record_type=RISK_HIT | script_file_name=mvpqaic_23_gpt_response_intake_core.js | module_family=QAIC_BRIDGE | functional_role=PROMPT_OR_AI | migration_priority=P0 | evidence_text=QAIC_BRIDGE mvpqaic_23_gpt_response_intake_core.js risk_line_text sheet.getRange(INTAKE_START_ROW, 1, rows.length, 5).setValues(rows); Review required before cleanup/delete."
P165_R3_PROMPT_ENGINE_RECOVERY.csv,1932,PROMPT_ENGINE_OR_PROMPT_SOURCE,UNKNOWN_SOURCE,190,prompt|gpt|review|risk,"record_type=RISK_HIT | script_file_name=mvpqaic_23_gpt_response_intake_core.js | module_family=QAIC_BRIDGE | functional_role=PROMPT_OR_AI | migration_priority=P0 | evidence_text=QAIC_BRIDGE mvpqaic_23_gpt_response_intake_core.js risk_line_text sheet.getRange(1, 1, clearRows, clearCols).clearContent().clearDataValidations().breakApart(); Review required befor"
P165_R3_PROMPT_ENGINE_RECOVERY.csv,1935,PROMPT_ENGINE_OR_PROMPT_SOURCE,UNKNOWN_SOURCE,190,prompt|gpt|review|risk,record_type=RISK_HIT | script_file_name=mvpqaic_23_gpt_response_intake_core.js | module_family=QAIC_BRIDGE | functional_role=PROMPT_OR_AI | migration_priority=P0 | evidence_text=QAIC_BRIDGE mvpqaic_23_gpt_response_intake_core.js risk_line_text bannerRange.breakApart().clearContent().clearFormat().clearDataValidations(); Review required before cleanup/delete.
P165_R3_PROMPT_ENGINE_RECOVERY.csv,1939,PROMPT_ENGINE_OR_PROMPT_SOURCE,UNKNOWN_SOURCE,190,prompt|gpt|review|risk,"record_type=RISK_HIT | script_file_name=mvpqaic_23_gpt_response_intake_core.js | module_family=QAIC_BRIDGE | functional_role=PROMPT_OR_AI | migration_priority=P0 | evidence_text=QAIC_BRIDGE mvpqaic_23_gpt_response_intake_core.js risk_line_text .setValue('UI obligatoire : colonnes métier à gauche, largeur maîtrisée, hauteur compacte forcée, texte long en CLIP"
P165_R3_PROMPT_ENGINE_RECOVERY.csv,1942,PROMPT_ENGINE_OR_PROMPT_SOURCE,UNKNOWN_SOURCE,190,prompt|gpt|review|risk,record_type=RISK_HIT | script_file_name=mvpqaic_23_gpt_response_intake_core.js | module_family=QAIC_BRIDGE | functional_role=PROMPT_OR_AI | migration_priority=P0 | evidence_text=QAIC_BRIDGE mvpqaic_23_gpt_response_intake_core.js risk_line_text if (changed) range.setValues(values); Review required before cleanup/delete.
P165_R3_PROMPT_ENGINE_RECOVERY.csv,1943,PROMPT_ENGINE_OR_PROMPT_SOURCE,UNKNOWN_SOURCE,190,prompt|gpt|review|risk,record_type=RISK_HIT | script_file_name=mvpqaic_23_gpt_response_intake_core.js | module_family=QAIC_BRIDGE | functional_role=PROMPT_OR_AI | migration_priority=P0 | evidence_text=QAIC_BRIDGE mvpqaic_23_gpt_response_intake_core.js risk_line_text .clearContent() Review required before cleanup/delete.
