"item_id","root_id","relative_path","filename","doc_class","proposed_action","legitimacy_status","freshness_status","archive_allowed"
"ITEM-003414","ROOT_02_MVP_QAIC_MAIN_FOLDER","02_BUILD\LEXIQUE_READER_MVP\P27A2D_20260618_124827_ASSETS_VISUAL_INTEGRATED_UX_PROTOTYPE\data\topics.json","topics.json","DOC_SOURCE_TO_COMPARE","REVIEW_COMPARE","REVIEW_REQUIRED","CURRENT_OR_RECENT","NO_P203B1_GATE_ONLY"
"ITEM-003415","ROOT_02_MVP_QAIC_MAIN_FOLDER","02_BUILD\LEXIQUE_READER_MVP\P27A2D_20260618_124827_ASSETS_VISUAL_INTEGRATED_UX_PROTOTYPE\data\visual_map.json","visual_map.json","DOC_SOURCE_TO_COMPARE","REVIEW_COMPARE","REVIEW_REQUIRED","CURRENT_OR_RECENT","NO_P203B1_GATE_ONLY"
"ITEM-003416","ROOT_02_MVP_QAIC_MAIN_FOLDER","02_BUILD\LEXIQUE_READER_MVP\P27A2D_20260618_124827_ASSETS_VISUAL_INTEGRATED_UX_PROTOTYPE\data\lexique.json","lexique.json","DOC_SOURCE_TO_COMPARE","REVIEW_COMPARE","REVIEW_REQUIRED","CURRENT_OR_RECENT","NO_P203B1_GATE_ONLY"
"ITEM-003417","ROOT_02_MVP_QAIC_MAIN_FOLDER","02_BUILD\LEXIQUE_READER_MVP\P27A2D_20260618_124827_ASSETS_VISUAL_INTEGRATED_UX_PROTOTYPE\docs\CHANGELOG.md","CHANGELOG.md","DOC_SOURCE_TO_COMPARE","REVIEW_COMPARE","REVIEW_REQUIRED","CURRENT_OR_RECENT","NO_P203B1_GATE_ONLY"
"ITEM-003419","ROOT_02_MVP_QAIC_MAIN_FOLDER","02_BUILD\LEXIQUE_READER_MVP\P27A2D_20260618_124827_ASSETS_VISUAL_INTEGRATED_UX_PROTOTYPE\docs\P27A2B_STATIC_PROTOTYPE_CHECKLIST.md","P27A2B_STATIC_PROTOTYPE_CHECKLIST.md","DOC_SOURCE_TO_COMPARE","REVIEW_COMPARE","REVIEW_REQUIRED","CURRENT_OR_RECENT","NO_P203B1_GATE_ONLY"
"ITEM-003420","ROOT_02_MVP_QAIC_MAIN_FOLDER","02_BUILD\LEXIQUE_READER_MVP\P27A2D_20260618_124827_ASSETS_VISUAL_INTEGRATED_UX_PROTOTYPE\docs\P27A2B_UX_REVIEW_NOTES.md","P27A2B_UX_REVIEW_NOTES.md","DOC_SOURCE_TO_COMPARE","REVIEW_COMPARE","REVIEW_REQUIRED","CURRENT_OR_RECENT","NO_P203B1_GATE_ONLY"
"ITEM-003423","ROOT_02_MVP_QAIC_MAIN_FOLDER","02_BUILD\LEXIQUE_READER_MVP\P27A2D_20260618_124827_ASSETS_VISUAL_INTEGRATED_UX_PROTOTYPE\docs\P27A2C_REVIEW_CHECKLIST.md","P27A2C_REVIEW_CHECKLIST.md","DOC_SOURCE_TO_COMPARE","REVIEW_COMPARE","REVIEW_REQUIRED","CURRENT_OR_RECENT","NO_P203B1_GATE_ONLY"
"ITEM-003424","ROOT_02_MVP_QAIC_MAIN_FOLDER","02_BUILD\LEXIQUE_READER_MVP\P27A2D_20260618_124827_ASSETS_VISUAL_INTEGRATED_UX_PROTOTYPE\docs\P27A2C_CHANGELOG.md","P27A2C_CHANGELOG.md","DOC_SOURCE_TO_COMPARE","REVIEW_COMPARE","REVIEW_REQUIRED","CURRENT_OR_RECENT","NO_P203B1_GATE_ONLY"
"ITEM-003425","ROOT_02_MVP_QAIC_MAIN_FOLDER","02_BUILD\LEXIQUE_READER_MVP\P27A2D_DIRECT_20260618_125004_ASSETS_VISUAL_INTEGRATED_UX_PROTOTYPE\index.html","index.html","SCRIPT_OR_UI_SOURCE_TO_CLASSIFY","REVIEW_COMPARE","REVIEW_REQUIRED","CURRENT_OR_RECENT","NO_P203B1_GATE_ONLY"
"ITEM-003426","ROOT_02_MVP_QAIC_MAIN_FOLDER","02_BUILD\LEXIQUE_READER_MVP\P27A2D_DIRECT_20260618_125004_ASSETS_VISUAL_INTEGRATED_UX_PROTOTYPE\P27A2B_MANIFEST.json","P27A2B_MANIFEST.json","DOC_SOURCE_TO_COMPARE","REVIEW_COMPARE","REVIEW_REQUIRED","CURRENT_OR_RECENT","NO_P203B1_GATE_ONLY"
